fecha,altura_astronomica_m,altura_medida_m
2026-07-15T00:45:00,1.03,1.3
2026-07-15T01:45:00,1.25,1.49
2026-07-15T02:45:00,1.4,1.56
2026-07-15T03:45:00,1.44,1.49
2026-07-15T04:45:00,1.39,1.36
2026-07-15T05:45:00,1.27,1.19
2026-07-15T06:45:00,1.09,1.0
2026-07-15T07:45:00,0.86,0.79
2026-07-15T08:45:00,0.63,0.65
2026-07-15T09:45:00,0.45,0.55
2026-07-15T10:45:00,0.38,0.46
2026-07-15T11:45:00,0.42,0.42
2026-07-15T12:45:00,0.57,0.49
2026-07-15T13:45:00,0.75,0.66
2026-07-15T14:45:00,0.9,0.77
2026-07-15T15:45:00,0.98,0.88
2026-07-15T16:45:00,0.98,0.89
2026-07-15T17:45:00,0.93,0.87
2026-07-15T18:45:00,0.83,0.72
2026-07-15T19:45:00,0.7,0.61
2026-07-15T20:45:00,0.56,0.5
2026-07-15T21:45:00,0.46,0.5
2026-07-15T22:45:00,0.44,0.44
2026-07-15T23:45:00,0.55,0.49
