fecha,altura_astronomica_m,altura_medida_m
2026-07-02T00:45:00,0.66,2.44
2026-07-02T01:45:00,0.59,2.47
2026-07-02T02:45:00,0.55,2.54
2026-07-02T03:45:00,0.58,2.64
2026-07-02T04:45:00,0.69,2.69
2026-07-02T05:45:00,0.85,2.69
2026-07-02T06:45:00,1.02,2.66
2026-07-02T07:45:00,1.14,2.53
2026-07-02T08:45:00,1.18,2.35
2026-07-02T09:45:00,1.16,2.15
2026-07-02T10:45:00,1.08,1.96
2026-07-02T11:45:00,0.98,1.8
2026-07-02T12:45:00,0.87,1.64
2026-07-02T13:45:00,0.75,1.51
2026-07-02T14:45:00,0.65,1.4
2026-07-02T15:45:00,0.57,1.29
2026-07-02T16:45:00,0.56,1.2
2026-07-02T17:45:00,0.61,1.12
2026-07-02T18:45:00,0.69,1.07
2026-07-02T19:45:00,0.76,1.01
2026-07-02T20:45:00,0.81,0.98
2026-07-02T21:45:00,0.81,0.98
2026-07-02T22:45:00,0.78,0.96
2026-07-02T23:45:00,0.73,0.9
