fecha,altura_astronomica_m,altura_medida_m
2026-06-30T00:45:00,0.63,0.93
2026-06-30T01:45:00,0.6,1.0
2026-06-30T02:45:00,0.63,1.2
2026-06-30T03:45:00,0.73,1.42
2026-06-30T04:45:00,0.89,1.62
2026-06-30T05:45:00,1.03,1.75
2026-06-30T06:45:00,1.13,1.82
2026-06-30T07:45:00,1.15,1.84
2026-06-30T08:45:00,1.12,1.78
2026-06-30T09:45:00,1.04,1.65
2026-06-30T10:45:00,0.94,1.5
2026-06-30T11:45:00,0.83,1.36
2026-06-30T12:45:00,0.72,1.21
2026-06-30T13:45:00,0.63,1.08
2026-06-30T14:45:00,0.57,0.97
2026-06-30T15:45:00,0.57,0.88
2026-06-30T16:45:00,0.62,0.83
2026-06-30T17:45:00,0.71,0.79
2026-06-30T18:45:00,0.79,0.75
2026-06-30T19:45:00,0.84,0.73
2026-06-30T20:45:00,0.86,0.68
2026-06-30T21:45:00,0.84,0.63
2026-06-30T22:45:00,0.79,0.57
2026-06-30T23:45:00,0.72,0.52
