fecha,altura_astronomica_m,altura_medida_m
2026-07-09T07:45:00,0.59,1.07
2026-07-09T08:45:00,0.78,1.23
2026-07-09T09:45:00,0.96,1.43
2026-07-09T10:45:00,1.09,1.46
2026-07-09T11:45:00,1.13,1.52
2026-07-09T12:45:00,1.11,1.5
2026-07-09T13:45:00,1.05,1.39
2026-07-09T14:45:00,0.95,1.26
2026-07-09T15:45:00,0.85,1.16
2026-07-09T16:45:00,0.75,1.08
2026-07-09T17:45:00,0.68,0.98
2026-07-09T18:45:00,0.66,0.93
2026-07-09T19:45:00,0.71,
2026-07-09T20:45:00,0.8,
2026-07-09T21:45:00,0.91,
2026-07-09T22:45:00,0.99,
2026-07-09T23:45:00,1.01,
