fecha,altura_astronomica_m,altura_medida_m
2026-07-13T00:45:00,0.76,0.96
2026-07-13T01:45:00,0.79,0.94
2026-07-13T02:45:00,0.87,1.02
2026-07-13T03:45:00,1.02,1.17
2026-07-13T04:45:00,1.13,1.28
2026-07-13T05:45:00,1.22,1.32
2026-07-13T06:45:00,1.22,1.29
2026-07-13T07:45:00,1.18,1.21
2026-07-13T08:45:00,1.08,1.1
2026-07-13T09:45:00,0.95,1.02
2026-07-13T10:45:00,0.82,0.93
2026-07-13T11:45:00,0.71,0.86
2026-07-13T12:45:00,0.64,0.8
2026-07-13T13:45:00,0.6,0.75
2026-07-13T14:45:00,0.58,0.7
2026-07-13T15:45:00,0.66,0.69
2026-07-13T16:45:00,0.75,0.71
2026-07-13T17:45:00,0.85,0.76
2026-07-13T18:45:00,0.92,0.79
2026-07-13T19:45:00,0.94,0.81
2026-07-13T20:45:00,0.95,0.77
2026-07-13T21:45:00,0.89,0.73
2026-07-13T22:45:00,0.83,0.67
2026-07-13T23:45:00,0.76,0.63
