fecha,altura_astronomica_m,altura_medida_m
2026-07-11T00:45:00,1.0,1.28
2026-07-11T01:45:00,0.99,1.24
2026-07-11T02:45:00,0.94,1.17
2026-07-11T03:45:00,0.85,1.07
2026-07-11T04:45:00,0.73,0.98
2026-07-11T05:45:00,0.62,0.88
2026-07-11T06:45:00,0.52,0.79
2026-07-11T07:45:00,0.45,0.69
2026-07-11T08:45:00,0.41,0.63
2026-07-11T09:45:00,0.45,0.75
2026-07-11T10:45:00,0.57,0.93
2026-07-11T11:45:00,0.73,1.08
2026-07-11T12:45:00,0.85,1.2
2026-07-11T13:45:00,0.93,1.26
2026-07-11T14:45:00,0.95,1.26
2026-07-11T15:45:00,0.93,1.2
2026-07-11T16:45:00,0.87,1.11
2026-07-11T17:45:00,0.78,1.03
2026-07-11T18:45:00,0.71,0.93
2026-07-11T19:45:00,0.66,0.85
2026-07-11T20:45:00,0.63,0.82
2026-07-11T21:45:00,0.66,0.89
2026-07-11T22:45:00,0.77,1.1
2026-07-11T23:45:00,0.91,1.23
