fecha,altura_astronomica_m,altura_medida_m
2026-06-30T00:45:00,0.64,1.08
2026-06-30T01:45:00,0.7,1.24
2026-06-30T02:45:00,0.8,1.42
2026-06-30T03:45:00,0.91,1.56
2026-06-30T04:45:00,1.0,
2026-06-30T05:45:00,1.05,1.72
2026-06-30T06:45:00,1.06,1.75
2026-06-30T07:45:00,1.03,1.71
2026-06-30T08:45:00,0.98,1.6
2026-06-30T09:45:00,0.91,1.51
2026-06-30T10:45:00,0.83,1.38
2026-06-30T11:45:00,0.74,1.24
2026-06-30T12:45:00,0.67,1.14
2026-06-30T13:45:00,0.64,
2026-06-30T14:45:00,0.66,
2026-06-30T15:45:00,0.7,
2026-06-30T16:45:00,0.75,
2026-06-30T17:45:00,0.79,
2026-06-30T18:45:00,0.8,
2026-06-30T19:45:00,0.8,
2026-06-30T20:45:00,0.77,
