fecha,altura_astronomica_m,altura_medida_m
2026-09-15T05:45:00,2.24,3.67
2026-09-15T06:45:00,3.13,4.35
2026-09-15T07:45:00,3.69,4.82
2026-09-15T08:45:00,3.88,5.06
2026-09-15T09:45:00,3.8,5.11
2026-09-15T10:45:00,3.5,4.72
2026-09-15T11:45:00,2.96,4.29
2026-09-15T12:45:00,2.17,3.38
2026-09-15T13:45:00,1.29,2.67
2026-09-15T14:45:00,0.63,1.39
2026-09-15T15:45:00,0.51,0.92
2026-09-15T16:45:00,1.0,
2026-09-15T17:45:00,1.9,
2026-09-15T18:45:00,2.83,
2026-09-15T19:45:00,3.5,
2026-09-15T20:45:00,3.84,
2026-09-15T21:45:00,3.89,
2026-09-15T22:45:00,3.73,
2026-09-15T23:45:00,3.32,
