fecha,nivel
2026-09-18T00:00:00,1.428
2026-09-18T00:12:00,1.399
2026-09-18T00:18:00,1.385
2026-09-18T00:24:00,1.389
2026-09-18T00:30:00,1.373
2026-09-18T00:36:00,1.309
2026-09-18T00:42:00,1.31
2026-09-18T00:48:00,1.284
2026-09-18T00:54:00,1.27
2026-09-18T01:00:00,1.229
2026-09-18T01:06:00,1.2
2026-09-18T01:12:00,1.194
2026-09-18T01:18:00,1.179
2026-09-18T01:24:00,1.165
2026-09-18T01:30:00,1.128
2026-09-18T01:36:00,1.078
2026-09-18T01:42:00,1.052
2026-09-18T01:48:00,1.094
2026-09-18T01:54:00,1.017
2026-09-18T02:00:00,1.022
2026-09-18T02:06:00,1.001
2026-09-18T02:12:00,0.974
2026-09-18T02:18:00,0.978
2026-09-18T02:24:00,0.995
2026-09-18T02:30:00,0.963
2026-09-18T02:36:00,0.957
2026-09-18T02:42:00,0.983
2026-09-18T02:48:00,0.899
2026-09-18T02:54:00,0.882
2026-09-18T03:00:00,0.931
2026-09-18T03:06:00,0.914
2026-09-18T03:12:00,0.911
2026-09-18T03:18:00,0.855
2026-09-18T03:24:00,0.816
2026-09-18T03:30:00,0.893
2026-09-18T03:36:00,0.819
2026-09-18T03:42:00,0.836
2026-09-18T03:48:00,0.841
2026-09-18T03:54:00,0.83
2026-09-18T04:00:00,0.819
2026-09-18T04:06:00,0.757
2026-09-18T04:12:00,0.758
2026-09-18T04:18:00,0.767
2026-09-18T04:24:00,0.782
2026-09-18T04:30:00,0.741
2026-09-18T04:36:00,0.716
2026-09-18T04:42:00,0.685
2026-09-18T04:48:00,0.674
2026-09-18T04:54:00,0.733
2026-09-18T05:00:00,0.738
2026-09-18T05:06:00,0.656
2026-09-18T05:12:00,0.735
2026-09-18T05:18:00,0.71
2026-09-18T05:24:00,0.66
2026-09-18T05:30:00,0.686
2026-09-18T05:36:00,0.67
2026-09-18T05:42:00,0.598
2026-09-18T05:48:00,0.656
2026-09-18T05:54:00,0.668
2026-09-18T06:00:00,0.543
2026-09-18T06:06:00,0.727
2026-09-18T06:12:00,0.716
2026-09-18T06:18:00,0.659
2026-09-18T06:24:00,0.647
2026-09-18T06:30:00,0.661
2026-09-18T06:36:00,0.69
2026-09-18T06:42:00,0.71
2026-09-18T06:48:00,0.731
2026-09-18T06:54:00,0.75
2026-09-18T07:00:00,0.74
2026-09-18T07:06:00,0.775
2026-09-18T07:12:00,0.777
2026-09-18T07:18:00,0.78
2026-09-18T07:24:00,0.843
2026-09-18T07:30:00,0.789
2026-09-18T07:36:00,0.879
2026-09-18T07:42:00,0.858
2026-09-18T07:48:00,0.884
2026-09-18T07:54:00,0.942
2026-09-18T08:00:00,0.974
2026-09-18T08:06:00,0.999
2026-09-18T08:12:00,0.985
2026-09-18T08:18:00,1.004
2026-09-18T08:24:00,1.034
2026-09-18T08:30:00,1.124
2026-09-18T08:36:00,1.131
2026-09-18T08:42:00,1.207
2026-09-18T08:48:00,1.186
2026-09-18T08:54:00,1.226
2026-09-18T09:00:00,1.279
2026-09-18T09:06:00,1.269
2026-09-18T09:12:00,1.304
2026-09-18T09:18:00,1.294
