fecha,altura_astronomica_m,altura_medida_m
2026-07-13T06:45:00,1.34,1.26
2026-07-13T07:45:00,1.21,1.11
2026-07-13T08:45:00,1.02,0.97
2026-07-13T09:45:00,0.83,0.86
2026-07-13T10:45:00,0.68,0.76
2026-07-13T11:45:00,0.58,0.67
2026-07-13T12:45:00,0.5,0.58
2026-07-13T13:45:00,0.49,0.49
2026-07-13T14:45:00,0.56,0.43
2026-07-13T15:45:00,0.71,0.43
2026-07-13T16:45:00,0.87,0.75
2026-07-13T17:45:00,0.99,0.93
2026-07-13T18:45:00,1.03,
2026-07-13T19:45:00,0.99,
2026-07-13T20:45:00,0.91,
2026-07-13T21:45:00,0.83,
2026-07-13T22:45:00,0.77,
2026-07-13T23:45:00,0.74,
