fecha,altura_astronomica_m,altura_medida_m
2026-06-30T00:45:00,0.75,0.86
2026-06-30T01:45:00,0.71,0.92
2026-06-30T02:45:00,0.68,1.0
2026-06-30T03:45:00,0.72,1.25
2026-06-30T04:45:00,0.83,1.47
2026-06-30T05:45:00,1.0,1.63
2026-06-30T06:45:00,1.17,1.74
2026-06-30T07:45:00,1.29,1.81
2026-06-30T08:45:00,1.33,1.8
2026-06-30T09:45:00,1.25,1.72
2026-06-30T10:45:00,1.11,1.56
2026-06-30T11:45:00,0.97,1.43
2026-06-30T12:45:00,0.86,1.28
2026-06-30T13:45:00,0.76,1.16
2026-06-30T14:45:00,0.67,1.05
2026-06-30T15:45:00,0.61,0.94
2026-06-30T16:45:00,0.61,0.85
2026-06-30T17:45:00,0.67,0.8
2026-06-30T18:45:00,0.74,0.74
2026-06-30T19:45:00,0.82,0.72
2026-06-30T20:45:00,0.87,0.7
2026-06-30T21:45:00,0.87,0.66
2026-06-30T22:45:00,0.84,0.62
2026-06-30T23:45:00,0.79,0.57
